layer,head,pearson_r,p_value,n_positions,passes_qk_alignment
0,0,-0.03800148851370227,0.0,1843874,False
0,1,-0.054472080558763764,0.0,1843874,False
0,2,0.0336659319838149,0.0,1843874,False
0,3,-0.044417681942320215,0.0,1843874,False
0,4,-0.09385153484001141,0.0,1843874,False
0,5,-0.03149300928399078,0.0,1843874,False
0,6,0.0005791729526078123,0.43160123074904017,1843874,False
0,7,0.16220140899020127,0.0,1843874,False
0,8,-0.04823007504763394,0.0,1843874,False
0,9,-0.04994777126744407,0.0,1843874,False
0,10,-0.025398838483230157,9.715214352745988e-261,1843874,False
0,11,0.04531372135985964,0.0,1843874,False
5,0,0.002793360753789368,0.00014878392449234882,1843874,False
5,1,-0.11778241811614334,0.0,1843874,False
5,2,-0.06794539573804907,0.0,1843874,False
5,3,-0.21156981160745253,0.0,1843874,False
5,4,-0.13772499497261653,0.0,1843874,False
5,5,0.13175657329923504,0.0,1843874,False
5,6,-0.002712308243135018,0.0002304786983822861,1843874,False
5,7,0.08399411633882536,0.0,1843874,False
5,8,-0.13318647672340264,0.0,1843874,False
5,9,-0.1859774843363613,0.0,1843874,False
5,10,0.09533395310475676,0.0,1843874,False
5,11,-0.02181617581504359,6.603772597216879e-193,1843874,False
11,0,0.2118854388847116,0.0,1843874,False
11,1,-0.017538410551166797,2.2209984417329522e-125,1843874,False
11,2,0.0910941084327516,0.0,1843874,False
11,3,0.07318132875685547,0.0,1843874,False
11,4,0.10148606258009123,0.0,1843874,False
11,5,-0.07830382050521803,0.0,1843874,False
11,6,-0.16531648415929076,0.0,1843874,False
11,7,-0.13519342013971847,0.0,1843874,False
11,8,0.030400237025117568,0.0,1843874,False
11,9,0.06859330942999138,0.0,1843874,False
11,10,-0.010699638366485971,7.894034249258996e-48,1843874,False
11,11,0.009860140255384533,6.980388006239987e-41,1843874,False
