task,layer,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,train_examples,test_examples,train_positive_rate,test_positive_rate
promoter_tata,11,0.9136703453186187,0.8751000808984968,0.9474839833959899,0.9240738519505125,0.8874461784311747,0.9556821456338246,0.8349056603773585,0.7830188679245284,0.8867924528301887,5062,212,0.5,0.5
promoter_no_tata,11,0.9383398923917755,0.9253391934054597,0.9498702770174562,0.9474626409312917,0.9363528427562573,0.9576895240605057,0.8549562682215743,0.8367346938775511,0.8731778425655977,30000,1372,0.49933333333333335,0.5
splice_sites_donors,11,0.8954418563300142,0.883861362632746,0.9059598648860814,0.9048906823046536,0.8894648570507969,0.9190780767693405,0.823,0.81,0.835675,30000,3000,0.5028,0.49333333333333335
splice_sites_acceptors,11,0.8847030841900528,0.8723475161957086,0.8959102376874364,0.8953685706586534,0.8801684802301033,0.9084575423053249,0.809,0.793,0.8233416666666666,30000,3000,0.5010333333333333,0.49166666666666664
