layer,head,support_tokens,background_tokens,a_motif,a_bg,rho,passes_attention_enrichment
0,0,222737,222737,1.0000001398938267,1.0000001486197887,0.9999999912740394,False
0,1,222737,222737,1.0000001311556328,1.0000001747996612,0.9999999563559793,False
0,2,222737,222737,1.0000004485354645,1.0000003872140828,1.000000061321358,False
0,3,222737,222737,0.9999998641809683,0.9999999088897674,0.9999999552911968,False
0,4,222737,222737,1.000000171184867,1.0000001587521716,1.0000000124326933,False
0,5,222737,222737,1.0000003188553417,1.0000003703556242,0.9999999484997366,False
0,6,222737,222737,1.000000136006437,1.0000001575342192,0.9999999784722212,False
0,7,222737,222737,1.0000000694964963,1.0000001028345475,0.9999999666619522,False
0,8,222737,222737,1.0000000042036803,1.0000000058461878,0.9999999983574925,False
0,9,222737,222737,1.0000000845129111,1.0000000911683342,0.9999999933445775,False
0,10,222737,222737,1.0000000425028108,1.0000000424113331,1.0000000000914777,False
0,11,222737,222737,0.9999995737347793,0.9999995921482271,0.9999999815865447,False
0,12,222737,222737,1.0000001712779165,1.0000001636949587,1.0000000075829565,False
0,13,222737,222737,0.9999999634441238,0.9999999884972294,0.9999999749468941,False
0,14,222737,222737,0.9999996060349713,0.999999629634141,0.9999999764008215,False
0,15,222737,222737,0.9999999063358471,0.9999999740388705,0.9999999322969748,False
5,0,222737,222737,0.999973935986461,0.9999811119681893,0.999992823882729,False
5,1,222737,222737,0.999963858728314,0.9999754142639719,0.9999884441802338,False
5,2,222737,222737,0.9999646581905296,0.9999718596061665,0.9999927983817067,False
5,3,222737,222737,0.9999945162356387,0.9999782415260102,1.0000162750637491,False
5,4,222737,222737,1.0000408917689794,1.0000430953193817,0.9999977965445562,False
5,5,222737,222737,1.0000602239724554,1.0000526469539204,1.000007576619649,False
5,6,222737,222737,0.9999902022218744,0.9999809536029617,1.000009248795069,False
5,7,222737,222737,0.9999148374197693,0.9999027674033688,1.0000120711901137,False
5,8,222737,222737,1.0000086287619772,1.0000033580265213,1.0000052707177567,False
5,9,222737,222737,0.9999959621747907,1.0000191167875736,0.9999768458298505,False
5,10,222737,222737,0.9999693598873463,0.9999774057476657,0.9999919539578862,False
5,11,222737,222737,1.000008956200193,0.9999918249647569,1.0000171313754858,False
5,12,222737,222737,0.9999813550731277,1.0000049963207822,0.9999763588704641,False
5,13,222737,222737,1.0000400619063836,1.0000403928030879,0.999999669116661,False
5,14,222737,222737,1.0000210561271154,1.0000168903609803,1.000004165695775,False
5,15,222737,222737,1.0000608044417507,1.0000494016318215,1.0000114022466395,False
11,0,222737,222737,1.0000316018338893,1.0000100033606607,1.0000215982571734,False
11,1,222737,222737,0.9999790743707544,0.9999716082024249,1.0000074663803133,False
11,2,222737,222737,1.0000054520629647,1.0000134871095807,0.999991965061752,False
11,3,222737,222737,0.9999871603327185,1.0000097758651074,0.9999773846886953,False
11,4,222737,222737,0.9999959927172247,0.9999735145873051,1.0000224787252778,False
11,5,222737,222737,0.9999494621476479,0.9999663333339518,0.9999831282456804,False
11,6,222737,222737,1.0000280633580956,1.0000206781273724,1.0000073850780136,False
11,7,222737,222737,0.9999481271982451,0.999960546067359,0.9999875806408935,False
11,8,222737,222737,1.0000691918903266,1.0001042810512777,0.999964914497802,False
11,9,222737,222737,0.9999096060715273,0.9999083846518003,1.000001221531638,False
11,10,222737,222737,0.9999699516014626,0.9999666892632441,1.000003262446893,False
11,11,222737,222737,1.000007421875769,1.0000261779866304,0.999981244380123,False
11,12,222737,222737,0.9999579081298318,0.9999845802162289,0.9999733275023187,False
11,13,222737,222737,0.9999279030063253,0.9999427249851479,0.9999851771721997,False
11,14,222737,222737,0.9999440552619839,0.9998984701777655,1.000045589712934,False
11,15,222737,222737,0.9999614365135665,0.999978798504667,0.9999826376407915,False
