layer,head,pearson_r,p_value,n_positions,passes_qk_alignment
0,0,0.019199850801168147,1.4715429848626234e-125,1540748,False
0,1,0.010518956695759215,5.7813584255900034e-39,1540748,False
0,2,0.013882206326670452,1.5181633709938388e-66,1540748,False
0,3,0.015711633458265355,1.0242685663293551e-84,1540748,False
0,4,0.0054807554192490265,1.0236609880854009e-11,1540748,False
0,5,0.010338068176991237,1.076150080407888e-37,1540748,False
0,6,0.011895303682731275,2.4349403397677908e-49,1540748,False
0,7,0.0021642749128491026,0.00722162558333642,1540748,False
0,8,0.018285689672771513,4.548371736261448e-114,1540748,False
0,9,0.010181850706439313,1.2912274396990182e-36,1540748,False
0,10,-0.0074920335407782975,1.4077664958765318e-20,1540748,False
0,11,-0.01949950669614385,1.9045559811565166e-129,1540748,False
0,12,-0.0027716030328804307,0.0005810526984404971,1540748,False
0,13,0.004994554341241585,5.660049876394754e-10,1540748,False
0,14,-0.015264572852139502,4.541342447217325e-80,1540748,False
0,15,0.006156437840958052,2.1410617801078357e-14,1540748,False
5,0,0.0006497488282808816,0.41994750839277806,1540748,False
5,1,0.0013555307542819411,0.0924569466401209,1540748,False
5,2,0.0006718747610912669,0.4042942080592176,1540748,False
5,3,-0.001153603859446974,0.1521633734632705,1540748,False
5,4,0.0020048713757957687,0.012825272680777041,1540748,False
5,5,0.0027667844271539337,0.0005940277504573281,1540748,False
5,6,-0.00027482879513291705,0.733001116160308,1540748,False
5,7,-0.0017622174542332798,0.028714408212488395,1540748,False
5,8,0.002707497423437878,0.0007773529801314287,1540748,False
5,9,-0.0014953942682821104,0.0634271022188746,1540748,False
5,10,-0.0009662194514518852,0.23039682673183384,1540748,False
5,11,-0.0005280546449169919,0.5121734215236059,1540748,False
5,12,-0.0014054413117147793,0.0810667559961033,1540748,False
5,13,0.001004050324647502,0.21265591097487618,1540748,False
5,14,0.0006157929793870155,0.44465035171092737,1540748,False
5,15,0.00021002974867696727,0.7943214400210514,1540748,False
11,0,0.001942615086300556,0.015895434644446683,1540748,False
11,1,2.120300799382392e-05,0.9790032122623316,1540748,False
11,2,0.001006680589694286,0.21146017085325022,1540748,False
11,3,0.00016041674374786365,0.8421687800313331,1540748,False
11,4,-0.0011210310228232524,0.16407384900210115,1540748,False
11,5,-0.00021248206931999078,0.7919747747609087,1540748,False
11,6,0.0037233734300412347,3.805729427353641e-06,1540748,False
11,7,-0.0002830182030561878,0.7253622742656405,1540748,False
11,8,-0.0004458284972203559,0.5799946458749502,1540748,False
11,9,0.0011499226512392358,0.15347548734832125,1540748,False
11,10,-0.0024507980717847068,0.002349330114396066,1540748,False
11,11,-0.0001286777603642105,0.873098850304461,1540748,False
11,12,-0.001051319934546783,0.1919031190656636,1540748,False
11,13,-0.001031876208913162,0.20025164581240723,1540748,False
11,14,-0.0023664437257861527,0.0033098301159576043,1540748,False
11,15,-0.0023018800293954193,0.004273249262022086,1540748,False
