source,feature,ctcf_motif_cosine,mean_activation,activation_frequency
residual,353,0.1092172730454171,1.1104353666305542,0.9746531639641748
residual,129,0.1050397296667579,1.0629615783691406,0.9749263400261468
mlp,41,0.09056336340423,1.2365615367889404,0.943823294113056
residual,104,0.090321184246971,1.085995316505432,0.9767214970048196
residual,109,0.0881069276329589,1.1029058694839478,0.9760970945774552
residual,268,0.0878000998231632,1.1143945455551147,0.9764483209428476
mlp,123,0.0875787153208318,1.1700592041015625,0.9397061406076216
mlp,264,0.0869872845986646,1.241869568824768,0.9320767234482624
mlp,267,0.086968628802627,1.18988835811615,0.9423208257722102
residual,383,0.0866876364081157,1.1066818237304688,0.978184940193955
