source,feature,ctcf_motif_cosine,mean_activation,activation_frequency
residual,353,0.10921727304541717,1.1104353666305542,0.9746531639641749
residual,129,0.10503972966675792,1.0629615783691406,0.9749263400261469
residual,104,0.09032118424697108,1.0859953165054321,0.9767214970048196
residual,109,0.08810692763295895,1.1029058694839478,0.9760970945774552
residual,268,0.08780009982316325,1.1143945455551147,0.9764483209428476
residual,383,0.08668763640811576,1.1066818237304688,0.978184940193955
residual,426,0.08593672214976797,1.0751755237579346,0.9765849089738337
residual,451,0.08219114098522388,1.0987913608551025,0.9768385724599504
residual,173,0.08203874058464124,1.091786503791809,0.9760580694257449
residual,499,0.08198308682793701,1.0961971282958984,0.9771507736736327
residual,473,0.0818381938174191,1.1082866191864014,0.9747702394193057
residual,400,0.08099543508901846,1.1059588193893433,0.9742824250229273
residual,414,0.07978953477747373,1.0736902952194214,0.9770727233702121
residual,1,0.07966253581384115,1.097528100013733,0.9766629592772542
residual,31,0.07916132477292223,1.0985314846038818,0.9790630061074362
residual,122,0.07858443621561371,1.0609197616577148,0.9775800503424457
residual,265,0.07814077115930328,1.0680495500564575,0.9744385256297684
residual,223,0.07754231270329913,1.0942680835723877,0.9747702394193057
residual,205,0.07603573635060654,1.0802801847457886,0.9726823938028059
residual,489,0.07557317738643198,1.0936778783798218,0.9751604909364086
residual,34,0.07548157212590893,1.0756468772888184,0.9776581006458662
residual,217,0.07258597179360428,1.0950934886932373,0.9738726609299694
residual,67,0.07219366194390264,1.1051361560821533,0.9748287771468711
residual,246,0.07167579472037897,1.0926907062530518,0.974945852602002
residual,267,0.07160846761440474,1.0918676853179932,0.9767995473082401
residual,429,0.07151483555649175,1.0944888591766357,0.9779312767078382
residual,171,0.07111485131601597,1.1049988269805908,0.9762336826084411
residual,153,0.0694409759273602,1.0584462881088257,0.9763702706394272
residual,433,0.0694252969310048,1.0968658924102783,0.9751604909364086
residual,119,0.06892946814081463,1.102977991104126,0.9769361353392262
residual,273,0.06837824722048308,1.0995126962661743,0.9759409939706141
residual,196,0.06821399496762673,1.0976383686065674,0.9783410408007961
residual,369,0.06775638482326894,1.0991789102554321,0.9758824562430486
residual,258,0.06739275891065548,1.0919378995895386,0.9778727389802728
residual,286,0.06730246110174785,1.0896466970443726,0.9761361197291655
residual,280,0.06699996456946425,1.0760693550109863,0.976916622763371
residual,398,0.06685348483158725,1.0682737827301025,0.9753361041191048
residual,66,0.06668424668488931,1.0831884145736694,0.9757458682120627
residual,33,0.06655277870915145,1.1388055086135864,0.9773654120080392
residual,472,0.06608565905575632,1.0706909894943237,0.9775800503424457
residual,240,0.06598890230258342,1.0873903036117554,0.9767605221565299
residual,103,0.06536960739291761,1.121263027191162,0.9764678335187028
