source,epoch,mse,l1
mlp,1,0.9443954601883888,0.24142444878816605
mlp,2,0.7461296990513802,0.325047105550766
mlp,3,0.6239785626530647,0.37192580103874207
mlp,4,0.5348155274987221,0.4087260663509369
mlp,5,0.4665938876569271,0.4369077868759632
mlp,6,0.41281596198678017,0.46030479669570923
mlp,7,0.3700764775276184,0.479763925075531
mlp,8,0.3356507010757923,0.49357807636260986
mlp,9,0.3072270154953003,0.506378598511219
mlp,10,0.28374552726745605,0.5171828642487526
