source,epoch,mse,l1
residual,1,0.3997905590196154,0.46854480619157723
residual,2,0.19397052922355595,0.5867707029503969
residual,3,0.1385693321773662,0.6567103198511683
residual,4,0.09582387796830182,0.7408428989832674
residual,5,0.06670169482257829,0.8337468641314341
residual,6,0.05148964910883808,0.9137610202998071
residual,7,0.04862529869696394,0.9751464122563452
residual,8,0.04103509260721468,1.0193658266494523
residual,9,0.038733275282887086,1.0539808528340278
residual,10,0.038102547994893585,1.08140094778431
