task,control,layer,auroc,auprc,accuracy,train_examples,test_examples,train_positive_rate,test_positive_rate,run,notes
splice_sites_donors,position_only,11,0.4413984708392603,0.4458248186710545,0.49333333333333335,30000,3000,0.5028,0.49333333333333335,,logistic control using parsed chromosome/start/end/midpoint/length metadata only
splice_sites_donors,residual_probe_gc_matched_test,11,0.8943622169466765,0.9057596561776313,0.8216216216216217,30000,2960,0.5028,0.5,,main residual probe evaluated on a balanced nearest-GC positive/negative test subset
splice_sites_donors,gc_content_only_gc_matched_test,11,0.6469103816654492,0.6892280148854296,0.5962837837837838,30000,2960,0.5028,0.5,,GC-only baseline evaluated on the same nearest-GC matched test subset
splice_sites_donors,random_label_residual_probe,11,0.5076369132290184,0.4780499250841812,0.5056666666666667,30000,3000,0.5028,0.49333333333333335,0.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_donors,random_label_residual_probe,11,0.535857041251778,0.49716585074463404,0.5216666666666666,30000,3000,0.5028,0.49333333333333335,1.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_donors,random_label_residual_probe,11,0.5245230263157894,0.49758475125336177,0.51,30000,3000,0.5028,0.49333333333333335,2.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_donors,random_label_residual_probe,11,0.5101649182076815,0.48134032862522685,0.5116666666666667,30000,3000,0.5028,0.49333333333333335,3.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_donors,random_label_residual_probe,11,0.4919905761024182,0.4731111525319218,0.49133333333333334,30000,3000,0.5028,0.49333333333333335,4.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_donors,random_label_residual_probe,11,0.4828765113798008,0.46362909269479136,0.491,30000,3000,0.5028,0.49333333333333335,5.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_donors,random_label_residual_probe,11,0.4933205903271693,0.47447581740488165,0.49133333333333334,30000,3000,0.5028,0.49333333333333335,6.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_donors,random_label_residual_probe,11,0.5051484708392603,0.4821069101472538,0.5043333333333333,30000,3000,0.5028,0.49333333333333335,7.0,residual probe trained on shuffled train labels and evaluated against true test labels
splice_sites_donors,residual_probe_gc_shift_low_to_high,11,0.8668529876910975,0.9046555109976573,0.7449238578680203,12027,1576,0.4285357944624595,0.5970812182741116,,distribution-shift control: train and test on opposite sides of the train-set GC-content 40/60 percentile split
