layer,head,support_tokens,background_tokens,a_motif,a_bg,rho,passes_attention_enrichment
0,0,256918,256918,0.9942775360832374,0.9942624048378741,1.0000152185633187,False
0,1,256918,256918,1.000961949166314,1.0007688520265843,1.000192948790661,False
0,2,256918,256918,0.999731164171665,0.9995982390702273,1.0001329785270143,False
0,3,256918,256918,0.995701230101029,0.9957860882997713,0.9999147827030931,False
0,4,256918,256918,0.9830879049008767,0.983317350431867,0.9997666617690724,False
0,5,256918,256918,0.9722957397918808,0.9713533503159325,1.0009701819380576,False
0,6,256918,256918,1.0086382808075545,1.00879043810373,0.9998491685781027,False
0,7,256918,256918,1.0042643037793315,1.0024341523740001,1.001825707355438,False
0,8,256918,256918,0.9960500961444722,0.9956817452075145,1.0003699484687056,False
0,9,256918,256918,0.9937951232139706,0.9940340460471269,0.9997596432092981,False
0,10,256918,256918,0.9997309222899421,0.9996548665682817,1.0000760819800953,False
0,11,256918,256918,1.0004642851830474,0.9998750533357942,1.000589305479007,False
5,0,256918,256918,0.984748937820301,0.9700397360421701,1.0151635043716307,False
5,1,256918,256918,0.932316768630858,0.9332205374110261,0.999031559268214,False
5,2,256918,256918,0.48016710323153056,0.4745801233415837,1.0117724692104848,False
5,3,256918,256918,0.13174321903219544,0.15866452505054426,0.8303256130519865,False
5,4,256918,256918,0.23620251023716948,0.2642529747623532,0.8938499574114163,False
5,5,256918,256918,0.8740725560352706,0.8796732090351506,0.9936332572796858,False
5,6,256918,256918,0.7247255572461112,0.7368201946201746,0.9835853611744476,False
5,7,256918,256918,0.5357878964918983,0.5374654401924811,0.9968787877784625,False
5,8,256918,256918,0.9436897802490656,0.9471280715349284,0.9963697715343917,False
5,9,256918,256918,0.8598627791170342,0.8580029231161607,1.0021676569517022,False
5,10,256918,256918,0.6421861617903938,0.6517568018455515,0.9853156268901883,False
5,11,256918,256918,0.9111269757683546,0.89957785615776,1.0128383769470746,False
11,0,256918,256918,1.0652906798678687,1.063616653788556,1.0015738998382075,False
11,1,256918,256918,0.8166728829973003,0.8389362883413898,0.9734623407599818,False
11,2,256918,256918,0.9149673424178733,0.9124934711572686,1.0027111111901623,False
11,3,256918,256918,0.7420713576840884,0.7269072583133005,1.0208611197609643,False
11,4,256918,256918,0.8832959080342169,0.8889906947259058,0.9935940986497674,False
11,5,256918,256918,0.8119268424269398,0.8151680189132832,0.9960239160379915,False
11,6,256918,256918,0.8361415688724803,0.8425448270991631,0.9924000978692981,False
11,7,256918,256918,0.8599499332674774,0.8560417872280162,1.004565368300672,False
11,8,256918,256918,0.9877114902806405,0.9856911951324314,1.0020496228009197,False
11,9,256918,256918,1.0535116063463554,1.0479081891296393,1.0053472406026047,False
11,10,256918,256918,0.895186237697274,0.8896679965324111,1.0062025847691172,False
11,11,256918,256918,0.6461081643906339,0.6459380334918006,1.0002633857893668,False
