task,layer,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,train_examples,test_examples,train_positive_rate,test_positive_rate
promoter_tata,11,0.6502313990744037,0.5760998169030458,0.7175138801488894,0.6702955351266658,0.5828008392232943,0.7588987028664054,0.5990566037735849,0.5330188679245284,0.6650943396226415,5062,212,0.5,0.5
promoter_no_tata,11,0.6975579902931601,0.6699425954692091,0.7255841484355763,0.6995974625046174,0.6655156488445996,0.7351454956378302,0.641399416909621,0.6173287172011661,0.6683673469387755,30000,1372,0.49933333333333335,0.5
splice_sites_donors,11,0.5695150248933143,0.5488857311846318,0.590822465297665,0.5576790814982467,0.531017320623706,0.5870920624078361,0.5623333333333334,0.5446583333333334,0.58035,30000,3000,0.5028,0.49333333333333335
splice_sites_acceptors,11,0.5647239788830231,0.5431176875164211,0.5865358777354079,0.5496397079647775,0.5233889012925038,0.5777864831846592,0.5396666666666666,0.5213333333333333,0.5586666666666666,30000,3000,0.5010333333333333,0.49166666666666664
